"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 19:30:36 GMT 2024","Fri Jun 14 19:30:36 GMT 2024","46","tests.ui","test_home","","","","test_successful_login",""
"passed","Fri Jun 14 19:30:20 GMT 2024","Fri Jun 14 19:30:20 GMT 2024","10","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
"passed","Fri Jun 14 19:30:31 GMT 2024","Fri Jun 14 19:30:31 GMT 2024","685","tests.ui","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 14 19:30:29 GMT 2024","Fri Jun 14 19:30:29 GMT 2024","698","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 19:30:18 GMT 2024","Fri Jun 14 19:30:19 GMT 2024","734","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 14 19:30:19 GMT 2024","Fri Jun 14 19:30:19 GMT 2024","18","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 14 19:30:20 GMT 2024","Fri Jun 14 19:30:20 GMT 2024","19","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
"passed","Fri Jun 14 19:30:21 GMT 2024","Fri Jun 14 19:30:21 GMT 2024","52","tests.api","test_get_users","","","","test_successful_get_users",""
"passed","Fri Jun 14 19:30:20 GMT 2024","Fri Jun 14 19:30:20 GMT 2024","12","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
"passed","Fri Jun 14 19:30:21 GMT 2024","Fri Jun 14 19:30:21 GMT 2024","12","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
"passed","Fri Jun 14 19:30:21 GMT 2024","Fri Jun 14 19:30:21 GMT 2024","10","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"passed","Fri Jun 14 19:30:37 GMT 2024","Fri Jun 14 19:30:38 GMT 2024","683","tests.ui","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 19:30:19 GMT 2024","Fri Jun 14 19:30:19 GMT 2024","311","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 14 19:30:27 GMT 2024","Fri Jun 14 19:30:28 GMT 2024","974","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 19:30:20 GMT 2024","Fri Jun 14 19:30:20 GMT 2024","338","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Fri Jun 14 19:30:19 GMT 2024","Fri Jun 14 19:30:20 GMT 2024","297","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 14 19:30:33 GMT 2024","Fri Jun 14 19:30:35 GMT 2024","2521","tests.ui","test_edit","","","","test_edit",""
"passed","Fri Jun 14 19:30:39 GMT 2024","Fri Jun 14 19:30:40 GMT 2024","869","tests.ui","test_register","","","","test_successful_registration_and_login",""
"passed","Fri Jun 14 19:30:38 GMT 2024","Fri Jun 14 19:30:39 GMT 2024","684","tests.ui","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 19:30:41 GMT 2024","Fri Jun 14 19:30:41 GMT 2024","50","tests.ui","test_register","","","","test_cancel_registration_opens_login_page",""
